arcc1	contig_23	456	55593	1	456	3736	3281	456	0.0	 843	456	100.00	1
arcc2	contig_23	456	55593	1	456	3736	3281	456	0.0	 809	438	98.68	1
arcc3	contig_23	456	55593	1	456	3736	3281	456	0.0	 826	447	99.34	1
arcc4	contig_23	456	55593	1	456	3736	3281	456	0.0	 832	450	99.56	1
arcc5	contig_23	456	55593	1	456	3736	3281	456	0.0	 821	444	99.12	1
arcc6	contig_23	456	55593	1	456	3736	3281	456	0.0	 821	444	99.12	1
arcc7	contig_23	456	55593	1	456	3736	3281	456	0.0	 837	453	99.78	1
arcc8	contig_23	456	55593	1	456	3736	3281	456	0.0	 821	444	99.12	1
arcc9	contig_23	456	55593	1	456	3736	3281	456	0.0	 832	450	99.56	1
arcc10	contig_23	456	55593	1	456	3736	3281	456	0.0	 837	453	99.78	1
arcc11	contig_23	456	55593	1	456	3736	3281	456	0.0	 832	450	99.56	1
arcc12	contig_23	456	55593	1	456	3736	3281	456	0.0	 815	441	98.90	1
arcc13	contig_23	456	55593	1	456	3736	3281	456	0.0	 837	453	99.78	1
arcc14	contig_23	456	55593	1	456	3736	3281	456	0.0	 815	441	98.90	1
arcc15	contig_23	456	55593	1	456	3736	3281	456	0.0	 832	450	99.56	1
arcc16	contig_23	456	55593	1	456	3736	3281	456	0.0	 815	441	98.90	1
arcc17	contig_23	456	55593	1	456	3736	3281	456	0.0	 832	450	99.56	1
arcc18	contig_23	456	55593	1	456	3736	3281	456	0.0	 815	441	98.90	1
arcc19	contig_23	456	55593	1	456	3736	3281	456	0.0	 821	444	99.12	1
arcc20	contig_23	456	55593	1	456	3736	3281	456	0.0	 815	441	98.90	1
arcc21	contig_23	453	55593	1	453	3736	3281	456	0.0	 806	436	98.68	1
arcc22	contig_23	456	55593	1	456	3736	3281	456	0.0	 821	444	99.12	1
arcc23	contig_23	456	55593	1	456	3736	3281	456	0.0	 837	453	99.78	1
arcc24	contig_23	456	55593	1	456	3736	3281	456	0.0	 821	444	99.12	1
arcc25	contig_23	456	55593	1	456	3736	3281	456	0.0	 837	453	99.78	1
arcc26	contig_23	456	55593	1	456	3736	3281	456	0.0	 821	444	99.12	1
arcc27	contig_23	456	55593	1	456	3736	3281	456	0.0	 837	453	99.78	1
arcc28	contig_23	456	55593	1	456	3736	3281	456	0.0	 815	441	98.90	1
arcc29	contig_23	456	55593	1	456	3736	3281	456	0.0	 804	435	98.46	1
arcc30	contig_23	456	55593	1	456	3736	3281	456	0.0	 837	453	99.78	1
arcc31	contig_23	456	55593	1	456	3736	3281	456	0.0	 837	453	99.78	1
arcc32	contig_23	456	55593	1	456	3736	3281	456	0.0	 837	453	99.78	1
arcc33	contig_23	456	55593	1	456	3736	3281	456	0.0	 837	453	99.78	1
